"","zip","modzcta_name","label","lat","lon","percentpositivity_7day","people_tested","people_positive","median_daily_test_rate","adequately_tested","daterange","latitude","longitude"
"1",10001,"Chelsea/NoMad/West Chelsea","10001, 10118",40.750693,-73.997137,3.09,1295,40,807.6,"Yes","February 9-February 15",40.75,-74
"2",10002,"Chinatown/Lower East Side","10002",40.715781,-73.986176,2.81,2420,68,580.2,"Yes","February 9-February 15",40.71,-73.99
"3",10003,"East Village/Gramercy/Greenwich Village","10003",40.731825,-73.989164,2.43,2268,55,770.7,"Yes","February 9-February 15",40.73,-73.99
"4",10004,"Financial District","10004",40.703675,-74.013106,1.07,187,2,1177.6,"Yes","February 9-February 15",40.69,-74.02
"5",10005,"Financial District","10005",40.706092,-74.008861,1.35,370,5,787.9,"Yes","February 9-February 15",40.71,-74.01
"6",10006,"Financial District","10006",40.709651,-74.013044,2.22,180,4,887.1,"Yes","February 9-February 15",40.71,-74.01
"7",10007,"TriBeCa","10007",40.713923,-74.007546,1.88,320,6,772.4,"Yes","February 9-February 15",40.71,-74.01
"8",10009,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","10009",40.72638,-73.978704,2.78,1833,51,600.2,"Yes","February 9-February 15",40.73,-73.98
"9",10010,"Flatiron/Gramercy/Kips Bay","10010",40.739119,-73.982544,2.02,1582,32,842.5,"Yes","February 9-February 15",40.74,-73.98
"10",10011,"Chelsea","10011",40.741707,-74.000062,1.73,1680,29,669.4,"Yes","February 9-February 15",40.74,-74
"11",10012,"Greenwich Village/SoHo","10012",40.725576,-73.998078,2.82,885,25,704,"Yes","February 9-February 15",40.73,-74
"12",10013,"Hudson Square/Little Italy/SoHo/TriBeCa","10013",40.720096,-74.004763,2.54,1101,28,700.9,"Yes","February 9-February 15",40.72,-74
"13",10014,"Hudson Square/Meatpacking District/West Village","10014",40.73402,-74.006314,2.25,1020,23,619.7,"Yes","February 9-February 15",40.73,-74.01
"14",10016,"Kips Bay/Murray Hill/NoMad","10016",40.745174,-73.978319,2.63,1904,50,679.6,"Yes","February 9-February 15",40.75,-73.98
"15",10017,"East Midtown/Murray Hill","10017",40.752543,-73.973037,2.56,742,19,896.7,"Yes","February 9-February 15",40.75,-73.97
"16",10018,"Hell's Kitchen/Midtown Manhattan","10018",40.755191,-73.992667,2.79,1360,38,1501.2,"Yes","February 9-February 15",40.76,-73.99
"17",10019,"Hell's Kitchen/Midtown Manhattan","10019, 10020",40.76528,-73.985974,2.14,2426,52,1073,"Yes","February 9-February 15",40.77,-73.99
"18",10021,"Lenox Hill/Upper East Side","10021",40.769474,-73.958771,1.96,1379,27,486.1,"Yes","February 9-February 15",40.77,-73.96
"19",10022,"East Midtown","10022",40.758676,-73.968098,1.96,1172,23,644.1,"Yes","February 9-February 15",40.76,-73.97
"20",10023,"Lincoln Square","10023",40.775901,-73.982658,2.03,3012,61,887,"Yes","February 9-February 15",40.78,-73.98
"21",10024,"Upper West Side","10024",40.792085,-73.974871,1.9,2520,48,826.9,"Yes","February 9-February 15",40.8,-73.97
"22",10025,"Manhattan Valley/Morningside Heights/Upper West Side","10025",40.798651,-73.966585,2.12,4951,105,1065.3,"Yes","February 9-February 15",40.8,-73.97
"23",10026,"Central Harlem (South)","10026",40.802341,-73.952521,1.31,1601,21,817.3,"Yes","February 9-February 15",40.8,-73.95
"24",10027,"Central Harlem (South)/Morningside Heights/West Harlem","10027",40.8118,-73.953204,1.59,2963,47,937,"Yes","February 9-February 15",40.81,-73.95
"25",10028,"Upper East Side/Yorkville","10028",40.776432,-73.953509,2.64,1476,39,506.6,"Yes","February 9-February 15",40.78,-73.95
"26",10029,"East Harlem","10029",40.791777,-73.943969,1.67,2521,42,494.7,"Yes","February 9-February 15",40.79,-73.94
"27",10030,"Central Harlem (North)","10030",40.818326,-73.942842,0.94,957,9,645.7,"Yes","February 9-February 15",40.82,-73.94
"28",10031,"Hamilton Heights/West Harlem","10031",40.825278,-73.950037,1.4,1710,24,547.2,"Yes","February 9-February 15",40.83,-73.95
"29",10032,"Washington Heights (South)","10032",40.838768,-73.942824,1.87,1873,35,547.2,"Yes","February 9-February 15",40.84,-73.94
"30",10033,"Washington Heights (North)/Washington Heights (South)","10033",40.850497,-73.934007,1.32,1743,23,562.2,"Yes","February 9-February 15",40.85,-73.93
"31",10034,"Inwood/Washington Heights (North)","10034",40.867168,-73.924048,1.79,1118,20,459.3,"Yes","February 9-February 15",40.87,-73.92
"32",10035,"East Harlem","10035",40.791,-73.924596,1.64,1157,19,593.1,"Yes","February 9-February 15",40.8,-73.93
"33",10036,"Hell's Kitchen/Midtown Manhattan","10036",40.75916,-73.989705,2.27,3434,78,2140.1,"Yes","February 9-February 15",40.76,-73.99
"34",10037,"Central Harlem (North)/East Harlem","10037",40.812957,-73.937419,1.32,682,9,630,"Yes","February 9-February 15",40.81,-73.94
"35",10038,"Chinatown/Financial District","10038",40.709696,-74.002391,1.52,854,13,651.7,"Yes","February 9-February 15",40.71,-74
"36",10039,"Central Harlem (North)/Washington Heights (South)","10039",40.830807,-73.936247,1.16,865,10,588.7,"Yes","February 9-February 15",40.83,-73.94
"37",10040,"Washington Heights (North)","10040",40.85831,-73.93049,1.24,1209,15,502.7,"Yes","February 9-February 15",40.86,-73.93
"38",10044,"Roosevelt Island","10044",40.761931,-73.949924,1.74,461,8,565.5,"Yes","February 9-February 15",40.76,-73.95
"39",10065,"Lenox Hill/Upper East Side","10065",40.764616,-73.963135,2.92,1436,42,828,"Yes","February 9-February 15",40.76,-73.96
"40",10069,"Lincoln Square","10069",40.775924,-73.990256,1.97,406,8,1241.1,"Yes","February 9-February 15",40.78,-73.99
"41",10075,"Lenox Hill/Upper East Side","10075, 10162",40.773132,-73.955884,3.64,906,33,668.3,"Yes","February 9-February 15",40.77,-73.95
"42",10128,"Upper East Side/Yorkville","10128",40.781466,-73.950226,2.37,2109,50,667.7,"Yes","February 9-February 15",40.78,-73.95
"43",10280,"Battery Park City","10280",40.709318,-74.016654,2.19,319,7,513.6,"Yes","February 9-February 15",40.71,-74.02
"44",10282,"Battery Park City","10282",40.716409,-74.015077,3.19,188,6,574.3,"Yes","February 9-February 15",40.72,-74.02
"45",10301,"Silver Lake/St. George","10301",40.628224,-74.096232,2.17,1108,24,519.2,"Yes","February 9-February 15",40.63,-74.09
"46",10302,"Elm Park","10302",40.630598,-74.137891,3.69,515,19,465.2,"Yes","February 9-February 15",40.63,-74.14
"47",10303,"Graniteville/Mariner's Harbor/Port Ivory","10303",40.632135,-74.169166,2.24,804,18,456.4,"Yes","February 9-February 15",40.63,-74.17
"48",10304,"New Dorp/Todt Hill","10304",40.605985,-74.0943,3.25,1232,40,475.1,"Yes","February 9-February 15",40.61,-74.09
"49",10305,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","10305",40.595474,-74.075437,3.74,1044,39,408.3,"Yes","February 9-February 15",40.6,-74.07
"50",10306,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","10306",40.571571,-74.125541,3.01,1461,44,454.5,"Yes","February 9-February 15",40.58,-74.14
"51",10307,"Tottenville","10307",40.507771,-74.24227,2.37,337,8,261.5,"Yes","February 9-February 15",40.51,-74.24
"52",10308,"Great Kills","10308",40.551574,-74.150454,3.06,653,20,389,"Yes","February 9-February 15",40.55,-74.15
"53",10309,"Charleston/Prince's Bay/Woodrow","10309",40.531355,-74.220574,4.46,829,37,330.9,"Yes","February 9-February 15",40.53,-74.22
"54",10310,"Port Richmond/Randall Manor/West Brighton","10310",40.632398,-74.11618,2.29,699,16,516.2,"Yes","February 9-February 15",40.63,-74.12
"55",10312,"Annadale/Rossville","10312",40.545128,-74.18169,5.03,1373,69,322.7,"Yes","February 9-February 15",40.55,-74.18
"56",10314,"Bloomfield/Freshkills Park","10314",40.599333,-74.166462,2.59,2394,62,478.8,"Yes","February 9-February 15",40.6,-74.17
"57",10451,"Concourse/Melrose","10451",40.820705,-73.923865,1.4,1638,23,527.8,"Yes","February 9-February 15",40.82,-73.93
"58",10452,"Concourse/Highbridge","10452",40.837364,-73.923461,1.11,2262,25,470.7,"Yes","February 9-February 15",40.84,-73.92
"59",10453,"Morris Heights/Mount Hope/University Heights","10453",40.852304,-73.913578,1.28,2266,29,517.3,"Yes","February 9-February 15",40.85,-73.91
"60",10454,"Mott Haven/Port Morris","10454",40.805487,-73.916605,1.21,1324,16,589.5,"Yes","February 9-February 15",40.81,-73.92
"61",10455,"Mott Haven","10455",40.8147,-73.908583,1.68,1370,23,498.9,"Yes","February 9-February 15",40.81,-73.91
"62",10456,"Claremont/Morrisania","10456",40.829884,-73.908121,0.7,2731,19,549.4,"Yes","February 9-February 15",40.83,-73.91
"63",10457,"Belmont/Claremont/Mount Hope/Tremont","10457",40.847151,-73.898676,1.35,2152,29,507.3,"Yes","February 9-February 15",40.85,-73.9
"64",10458,"Belmont/Fordham University/Kingsbridge","10458",40.862531,-73.88817,1.79,2400,43,531.8,"Yes","February 9-February 15",40.86,-73.89
"65",10459,"Charlotte Gardens/Hunts Point","10459",40.82584,-73.892976,1.1,1634,18,467.9,"Yes","February 9-February 15",40.83,-73.89
"66",10460,"Charlotte Gardens/Tremont/Van Nest/West Farms","10460",40.841753,-73.879584,1.6,1627,26,441.6,"Yes","February 9-February 15",40.84,-73.87
"67",10461,"Morris Park/Pelham Bay/Westchester Square","10461",40.847415,-73.840601,1.94,1392,27,472.5,"Yes","February 9-February 15",40.85,-73.84
"68",10462,"Parkchester/Pelham Parkway/Van Nest/Westchester Square","10462",40.842874,-73.858772,1.68,2198,37,447.4,"Yes","February 9-February 15",40.84,-73.86
"69",10463,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil","10463",40.880824,-73.906514,1.34,1862,25,415.8,"Yes","February 9-February 15",40.88,-73.91
"70",10464,"City Island","10464",40.872311,-73.804653,2.06,97,2,280,"Yes","February 9-February 15",40.87,-73.8
"71",10465,"Country Club/Throgs Neck","10465",40.823931,-73.822886,2.23,985,22,336.3,"Yes","February 9-February 15",40.82,-73.83
"72",10466,"Edenwald/Wakefield","10466",40.890965,-73.845912,1.38,1737,24,357.6,"Yes","February 9-February 15",40.89,-73.85
"73",10467,"Allerton/Norwood/Pelham Parkway/Williamsbridge","10467",40.880939,-73.873956,1.37,3055,42,522.2,"Yes","February 9-February 15",40.87,-73.87
"74",10468,"Fordham/Kingsbridge/University Heights","10468",40.868161,-73.899844,1.17,2226,26,526.9,"Yes","February 9-February 15",40.87,-73.9
"75",10469,"Allerton/Baychester/Pelham Gardens/Williamsbridge","10469",40.86876,-73.846984,1.51,1654,25,400.7,"Yes","February 9-February 15",40.87,-73.85
"76",10470,"Wakefield/Woodlawn","10470",40.895986,-73.86802,2.69,409,11,473.6,"Yes","February 9-February 15",40.89,-73.87
"77",10471,"Fieldston/North Riverdale/Riverdale","10471",40.899509,-73.901518,2.04,636,13,480.2,"Yes","February 9-February 15",40.9,-73.9
"78",10472,"Soundview","10472",40.829561,-73.869393,1.62,1909,31,484,"Yes","February 9-February 15",40.83,-73.87
"79",10473,"Castle Hill/Clason Point/Soundview","10473",40.818135,-73.858718,1.35,1631,22,436.5,"Yes","February 9-February 15",40.82,-73.86
"80",10474,"Hunts Point","10474",40.810595,-73.884618,0.87,346,3,384.1,"Yes","February 9-February 15",40.81,-73.88
"81",10475,"Co-op City/Edenwald","10475",40.868941,-73.824854,1.51,992,15,386.1,"Yes","February 9-February 15",40.88,-73.82
"82",11004,"Bellerose/Douglaston-Little Neck","11004, 11005",40.748068,-73.710907,3.51,370,13,316.6,"Yes","February 9-February 15",40.74,-73.71
"83",11101,"Astoria (South)/Long Island City/Sunnyside","11101",40.747077,-73.938586,2.51,1634,41,898.6,"Yes","February 9-February 15",40.74,-73.93
"84",11102,"Astoria (North)","11102",40.772498,-73.925912,1.6,1002,16,672.3,"Yes","February 9-February 15",40.77,-73.93
"85",11103,"Astoria (North)/Astoria (South)","11103",40.762536,-73.913541,2.22,993,22,578.2,"Yes","February 9-February 15",40.76,-73.91
"86",11104,"Sunnyside","11104",40.744658,-73.920205,1.22,823,10,538.6,"Yes","February 9-February 15",40.74,-73.92
"87",11105,"Ditmars Steinway","11105",40.778969,-73.906286,2.77,973,27,489.1,"Yes","February 9-February 15",40.78,-73.91
"88",11106,"Astoria (South)","11106",40.761792,-73.931771,2.25,1201,27,630.5,"Yes","February 9-February 15",40.76,-73.93
"89",11109,"Long Island City","11109",40.746211,-73.956999,1.84,163,3,485.9,"Yes","February 9-February 15",40.75,-73.96
"90",11201,"Brooklyn Heights/DUMBO/Downtown Brooklyn","11201",40.694609,-73.989581,2.16,2779,60,809.1,"Yes","February 9-February 15",40.69,-73.99
"91",11203,"East Flatbush (North)/East Flatbush (South)","11203",40.649576,-73.934363,1.99,2007,40,474.7,"Yes","February 9-February 15",40.64,-73.94
"92",11204,"Bensonhurst/Mapleton","11204",40.618774,-73.984824,2.38,2477,59,486.5,"Yes","February 9-February 15",40.62,-73.98
"93",11205,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","11205",40.694625,-73.966212,1.27,2924,37,705.9,"Yes","February 9-February 15",40.69,-73.97
"94",11206,"Williamsburg (South)","11206",40.701957,-73.942361,1.03,4348,45,535.1,"Yes","February 9-February 15",40.7,-73.94
"95",11207,"Cypress Hills/East New York","11207",40.670819,-73.894255,1.93,2743,53,548.1,"Yes","February 9-February 15",40.67,-73.89
"96",11208,"Cypress Hills/East New York","11208",40.668385,-73.871084,1.97,2692,53,460.4,"Yes","February 9-February 15",40.67,-73.87
"97",11209,"Bay Ridge/Fort Hamilton","11209",40.621811,-74.030011,3.54,1863,66,457.7,"Yes","February 9-February 15",40.62,-74.03
"98",11210,"Flatlands/Midwood","11210",40.628165,-73.946316,1.83,1640,30,395.8,"Yes","February 9-February 15",40.63,-73.95
"99",11211,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","11211, 11249",40.712334,-73.953851,1.53,5311,81,524.3,"Yes","February 9-February 15",40.71,-73.95
"100",11212,"Ocean Hill-Brownsville","11212",40.662935,-73.913011,1.8,2500,45,573.2,"Yes","February 9-February 15",40.66,-73.91
"101",11213,"Crown Heights (East)","11213",40.671074,-73.93633,2.01,2085,42,605.3,"Yes","February 9-February 15",40.67,-73.94
"102",11214,"Bath Beach/Bensonhurst/Gravesend","11214",40.598729,-73.99621,2.87,2441,70,508.5,"Yes","February 9-February 15",40.6,-74
"103",11215,"Gowanus/Park Slope/Windsor Terrace","11215",40.66252,-73.986872,2.01,2791,56,781.3,"Yes","February 9-February 15",40.66,-73.99
"104",11216,"Bedford-Stuyvesant (West)/Crown Heights (West)","11216",40.680785,-73.94931,2.49,1924,48,682.2,"Yes","February 9-February 15",40.68,-73.95
"105",11217,"Boerum Hill/Park Slope","11217, 11243",40.682417,-73.97938,2.42,1655,40,814.8,"Yes","February 9-February 15",40.68,-73.98
"106",11218,"Kensington/Windsor Terrace","11218",40.64348,-73.976044,2.24,2816,63,632.5,"Yes","February 9-February 15",40.64,-73.98
"107",11219,"Borough Park","11219",40.632662,-73.996666,1.39,3317,46,498.4,"Yes","February 9-February 15",40.63,-74
"108",11220,"Sunset Park","11220",40.641081,-74.016495,2.92,2641,77,485.2,"Yes","February 9-February 15",40.64,-74.02
"109",11221,"Bedford-Stuyvesant (East)/Bushwick","11221",40.691339,-73.927885,2.43,2551,62,546.4,"Yes","February 9-February 15",40.69,-73.93
"110",11222,"Greenpoint","11222",40.728292,-73.947562,2.53,1623,41,913.5,"Yes","February 9-February 15",40.73,-73.95
"111",11223,"Gravesend/Homecrest","11223",40.597169,-73.973422,2.31,1990,46,373,"Yes","February 9-February 15",40.6,-73.97
"112",11224,"Brighton Beach/Coney Island/Seagate","11224",40.57666,-73.988581,3.14,1211,38,404.1,"Yes","February 9-February 15",40.58,-73.99
"113",11225,"Crown Heights (West)/Prospect Lefferts Gardens","11225",40.663056,-73.954226,1.91,1731,33,554.7,"Yes","February 9-February 15",40.66,-73.95
"114",11226,"Flatbush/Prospect Lefferts Gardens","11226",40.646456,-73.956654,1.65,3207,53,585.5,"Yes","February 9-February 15",40.65,-73.96
"115",11228,"Bath Beach/Dyker Heights","11228",40.616715,-74.013054,2.68,1195,32,413.5,"Yes","February 9-February 15",40.62,-74.01
"116",11229,"Gerritsen Beach/Homecrest/Sheepshead Bay","11229",40.601175,-73.944465,1.79,1957,35,311.3,"Yes","February 9-February 15",40.6,-73.94
"117",11230,"Midwood","11230",40.622164,-73.965096,2.46,2560,63,471.4,"Yes","February 9-February 15",40.62,-73.97
"118",11231,"Carroll Gardens/Cobble Hill/Red Hook","11231",40.677562,-74.004445,3.58,1510,54,741.1,"Yes","February 9-February 15",40.68,-74.01
"119",11232,"Sunset Park","11232",40.655984,-74.005304,2.38,798,19,472.6,"Yes","February 9-February 15",40.66,-74.01
"120",11233,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","11233",40.678302,-73.919931,1.42,2331,33,581.2,"Yes","February 9-February 15",40.68,-73.92
"121",11234,"Bergen Beach/Flatlands/Marine Park/Mill Basin","11234",40.60758,-73.910513,2.25,2176,49,354,"Yes","February 9-February 15",40.61,-73.91
"122",11235,"Brighton Beach/Manhattan Beach/Sheepshead Bay","11235",40.583915,-73.949669,2.9,2556,74,561.4,"Yes","February 9-February 15",40.58,-73.95
"123",11236,"Canarsie","11236",40.640004,-73.901459,1.32,2428,32,444.8,"Yes","February 9-February 15",40.64,-73.9
"124",11237,"Bushwick/East Williamsburg","11237",40.704153,-73.920883,2.01,1392,28,522.9,"Yes","February 9-February 15",40.7,-73.92
"125",11238,"Clinton Hill/Prospect Heights","11238",40.679179,-73.963804,2.33,2270,53,799.3,"Yes","February 9-February 15",40.68,-73.96
"126",11239,"East New York","11239",40.64753,-73.882398,2.32,388,9,460.7,"Yes","February 9-February 15",40.65,-73.88
"127",11354,"Flushing/Murray Hill","11354",40.76863,-73.827229,4.39,1070,47,313.4,"Yes","February 9-February 15",40.77,-73.84
"128",11355,"Flushing/Murray Hill/Queensboro Hill","11355",40.751459,-73.821014,3.02,1753,53,381.7,"Yes","February 9-February 15",40.75,-73.82
"129",11356,"College Point","11356",40.784867,-73.841495,2.61,612,16,442.7,"Yes","February 9-February 15",40.78,-73.84
"130",11357,"Whitestone","11357",40.78639,-73.810964,3,867,26,315.1,"Yes","February 9-February 15",40.79,-73.81
"131",11358,"Auburndale/Murray Hill","11358",40.760475,-73.79637,2.38,882,21,444.1,"Yes","February 9-February 15",40.76,-73.8
"132",11360,"Bayside (North)","11360",40.78205,-73.7808,3.79,422,16,399,"Yes","February 9-February 15",40.78,-73.78
"133",11361,"Bayside (North)/Bayside (South)","11361",40.763748,-73.772419,2.66,601,16,364,"Yes","February 9-February 15",40.76,-73.77
"134",11362,"Douglaston-Little Neck","11362",40.756533,-73.736995,3.27,428,14,265.2,"Yes","February 9-February 15",40.76,-73.74
"135",11363,"Douglaston-Little Neck","11363",40.772803,-73.746444,1.61,186,3,415.7,"Yes","February 9-February 15",40.77,-73.75
"136",11364,"Bayside (South)/Oakland Gardens","11364",40.745279,-73.760578,2.67,937,25,448.3,"Yes","February 9-February 15",40.75,-73.76
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia","11365",40.739775,-73.794806,1.46,1093,16,390.3,"Yes","February 9-February 15",40.74,-73.79
"138",11366,"Fresh Meadows/Hillcrest","11366",40.728136,-73.784981,1.64,366,6,450.4,"Yes","February 9-February 15",40.73,-73.79
"139",11367,"Kew Gardens Hills/Pomonok","11367",40.730383,-73.826297,2.19,915,20,324.5,"Yes","February 9-February 15",40.73,-73.83
"140",11368,"Corona/North Corona","11368",40.749594,-73.852604,1.44,3184,46,356.1,"Yes","February 9-February 15",40.74,-73.85
"141",11369,"Airport/East Elmhurst","11369",40.768944,-73.872812,1.38,1012,14,541.2,"Yes","February 9-February 15",40.76,-73.88
"142",11370,"Jackson Heights/Rikers Island","11370",40.763466,-73.891021,2.09,718,15,396.5,"Yes","February 9-February 15",40.77,-73.89
"143",11372,"Jackson Heights","11372",40.75169,-73.883634,1.73,1850,32,538.9,"Yes","February 9-February 15",40.75,-73.88
"144",11373,"Elmhurst","11373",40.738823,-73.8785,1.92,2708,52,353.5,"Yes","February 9-February 15",40.74,-73.88
"145",11374,"Rego Park","11374",40.726441,-73.861497,2.83,1131,32,425.2,"Yes","February 9-February 15",40.72,-73.86
"146",11375,"Forest Hills","11375",40.720931,-73.846184,1.89,1848,35,433.6,"Yes","February 9-February 15",40.72,-73.84
"147",11377,"Woodside","11377",40.744823,-73.90516,2.42,2270,55,393.8,"Yes","February 9-February 15",40.74,-73.9
"148",11378,"Maspeth","11378",40.724768,-73.909399,3.54,875,31,356.9,"Yes","February 9-February 15",40.72,-73.9
"149",11379,"Middle Village","11379",40.716758,-73.879597,3.34,868,29,324.8,"Yes","February 9-February 15",40.71,-73.88
"150",11385,"Glendale/Ridgewood","11385",40.701058,-73.890159,2.35,2643,62,412.1,"Yes","February 9-February 15",40.7,-73.89
"151",11411,"Cambria Heights","11411",40.694202,-73.735998,2.07,483,10,369.5,"Yes","February 9-February 15",40.69,-73.73
"152",11412,"St. Albans","11412",40.698095,-73.758984,2.06,1070,22,493.5,"Yes","February 9-February 15",40.69,-73.75
"153",11413,"Laurelton/Rosedale","11413",40.669738,-73.750842,1.85,1135,21,476.8,"Yes","February 9-February 15",40.66,-73.75
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood","11414",40.658266,-73.844905,3.49,601,21,335,"Yes","February 9-February 15",40.66,-73.84
"155",11415,"Kew Gardens","11415",40.708323,-73.828212,3.68,489,18,370.9,"Yes","February 9-February 15",40.71,-73.83
"156",11416,"Ozone Park","11416",40.684652,-73.849549,0.69,727,5,416.8,"Yes","February 9-February 15",40.68,-73.85
"157",11417,"Ozone Park","11417",40.676457,-73.844522,1.22,905,11,512.2,"Yes","February 9-February 15",40.68,-73.84
"158",11418,"Richmond Hill","11418",40.700236,-73.836062,2.2,953,21,380.5,"Yes","February 9-February 15",40.7,-73.84
"159",11419,"Richmond Hill/South Ozone Park","11419",40.688676,-73.822901,2.4,1291,31,474.2,"Yes","February 9-February 15",40.69,-73.82
"160",11420,"South Ozone Park","11420",40.673518,-73.817812,1.5,1133,17,359.6,"Yes","February 9-February 15",40.67,-73.81
"161",11421,"Woodhaven","11421",40.69405,-73.85867,2.06,1114,23,397,"Yes","February 9-February 15",40.69,-73.85
"162",11422,"Rosedale","11422",40.660819,-73.73608,1.88,797,15,410.6,"Yes","February 9-February 15",40.66,-73.73
"163",11423,"Hollis/Holliswood","11423",40.71491,-73.767865,2.36,847,20,446.4,"Yes","February 9-February 15",40.71,-73.76
"164",11426,"Bellerose","11426",40.736521,-73.722384,3.56,478,17,381.9,"Yes","February 9-February 15",40.74,-73.72
"165",11427,"Bellerose/Hollis Hills/Holliswood","11427",40.730915,-73.745611,1.89,582,11,428.5,"Yes","February 9-February 15",40.73,-73.75
"166",11428,"Queens Village","11428",40.721015,-73.742206,3.03,528,16,468.2,"Yes","February 9-February 15",40.72,-73.74
"167",11429,"Queens Village","11429",40.709772,-73.738731,1.19,754,9,417.1,"Yes","February 9-February 15",40.71,-73.74
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills","11432",40.715359,-73.793064,2.28,1669,38,475.7,"Yes","February 9-February 15",40.72,-73.79
"169",11433,"Jamaica","11433",40.69823,-73.787095,0.74,1084,8,484.6,"Yes","February 9-February 15",40.7,-73.79
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans","11434",40.656866,-73.783386,1.61,1869,30,503.3,"Yes","February 9-February 15",40.68,-73.78
"171",11435,"Briarwood/Jamaica","11435",40.701291,-73.809618,1.53,1437,22,424.5,"Yes","February 9-February 15",40.7,-73.81
"172",11436,"South Jamaica/South Ozone Park","11436",40.675819,-73.796618,2.23,538,12,459,"Yes","February 9-February 15",40.68,-73.8
"173",11691,"Edgemere/Far Rockaway","11691",40.60133,-73.761357,1.78,1571,28,375.4,"Yes","February 9-February 15",40.6,-73.76
"174",11692,"Arverne/Edgemere","11692",40.592794,-73.792203,1.41,569,8,451.8,"Yes","February 9-February 15",40.59,-73.79
"175",11693,"Arverne/Broad Channel","11693",40.603699,-73.821926,2.9,276,8,347.2,"Yes","February 9-February 15",40.59,-73.81
"176",11694,"Belle Harbor-Neponsit/Rockaway Park","11694",40.577599,-73.844553,3.7,297,11,274.3,"Yes","February 9-February 15",40.58,-73.84
"177",11697,"Breezy Point","11697",40.55907,-73.907199,3.51,57,2,235.8,"No","February 9-February 15",40.56,-73.91
