DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
01M015,P.S. 015 Roberto Clemente,184,67,36.4%,31,23,8,35
01M019,P.S. 019 Asher Levy,258,35,13.6%,20,s,s,15
01M020,P.S. 020 Anna Silver,497,73,14.7%,36,24,12,34
01M034,P.S. 034 Franklin D. Roosevelt,316,76,24.1%,50,40,10,26
01M063,The STAR Academy - P.S.63,239,60,25.1%,21,s,s,38
01M064,P.S. 064 Robert Simon,235,49,20.9%,20,s,s,29
01M110,P.S. 110 Florence Nightingale,368,49,13.3%,14,s,s,34
01M134,P.S. 134 Henrietta Szold,301,61,20.3%,36,27,9,21
01M140,P.S. 140 Nathan Straus,388,81,20.9%,27,19,8,52
01M142,P.S. 142 Amalia Castro,356,97,27.2%,33,s,s,60
01M184,P.S. 184m Shuang Wen,690,90,13.0%,s,s,s,84
01M188,P.S. 188 The Island School,436,172,39.4%,102,83,19,64
01M292,Orchard Collegiate Academy,198,24,12.1%,10,s,s,10
01M315,The East Village Community School,342,10,2.9%,s,s,s,6
01M332,University Neighborhood Middle School,214,33,15.4%,11,s,s,20
01M361,The Children's Workshop School,326,31,9.5%,10,s,s,20
01M363,Neighborhood School,307,8,2.6%,s,s,s,s
01M364,Earth School,353,51,14.4%,9,s,s,40
01M378,School for Global Leaders,275,38,13.8%,19,13,6,13
01M448,University Neighborhood High School,496,55,11.1%,12,6,6,41
01M450,East Side Community School,677,56,8.3%,13,7,6,41
01M458,Forsyth Satellite Academy,228,28,12.3%,17,8,9,s
01M509,Marta Valle High School,125,6,4.8%,6,s,s,s
01M515,Lower East Side Preparatory High School,659,97,14.7%,18,s,s,73
01M539,"New Explorations into Science, Technology and Math",1772,10,0.6%,s,s,s,10
01M650,Cascades High School,235,29,12.3%,20,9,11,6
01M696,Bard High School Early College,613,12,2.0%,s,s,s,8
01M700,Universal Pre-K C.B.O.,298,31,10.4%,18,s,s,13
01M839,Tompkins Square Middle School,363,23,6.3%,s,s,s,14
02M001,P.S. 001 Alfred E. Smith,305,11,3.6%,7,s,s,s
02M002,P.S. 002 Meyer London,503,96,19.1%,30,s,s,66
02M003,P.S. 003 Charrette School,746,6,0.8%,s,s,s,6
02M011,P.S. 011 William T. Harris,921,57,6.2%,27,21,6,28
02M033,P.S. 033 Chelsea Prep,647,100,15.5%,71,64,7,28
02M040,P.S. 040 Augustus Saint-Gaudens,756,8,1.1%,s,s,s,8
02M042,P.S. 042 Benjamin Altman,580,21,3.6%,s,s,s,17
02M047,47 The American Sign Language and English Secondar,198,20,10.1%,14,7,7,6
02M051,P.S. 051 Elias Howe,520,103,19.8%,58,s,s,43
02M059,P.S. 059 Beekman Hill International,619,8,1.3%,s,s,s,s
02M104,J.H.S. 104 Simon Baruch,1147,60,5.2%,24,17,7,33
02M111,P.S. 111 Adolph S. Ochs,440,82,18.6%,66,s,s,16
02M116,P.S. 116 Mary Lindley Murray,523,58,11.1%,44,s,s,13
02M124,P.S. 124 Yung Wing,675,35,5.2%,s,s,s,30
02M126,P.S. 126 Jacob August Riis,725,175,24.1%,10,s,s,165
02M130,P.S. 130 Hernando De Soto,872,8,0.9%,s,s,s,6
02M131,M.S. 131,410,64,15.6%,7,s,s,56
02M135,The Urban Assembly School for Emergency Management,264,35,13.3%,15,8,7,11
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,400,25,6.3%,16,9,7,8
02M151,Yorkville Community School,500,39,7.8%,s,s,s,28
02M158,P.S. 158 Bayard Taylor,816,9,1.1%,s,s,s,6
02M167,J.H.S. 167 Robert F. Wagner,1405,48,3.4%,9,s,s,34
02M177,Yorkville East Middle School,233,6,2.6%,s,s,s,s
02M198,P.S. 198 Isador E. Ida Straus,499,11,2.2%,6,s,s,s
02M212,P.S. 212 Midtown West,368,10,2.7%,s,s,s,s
02M217,P.S./I.S. 217 Roosevelt Island,653,15,2.3%,s,s,s,12
02M225,Ella Baker School,328,16,4.9%,9,s,s,6
02M260,The Clinton School,730,8,1.1%,s,s,s,8
02M267,"East Side Elementary School, PS 267",440,10,2.3%,s,s,s,s
02M276,Battery Park City School,874,13,1.5%,s,s,s,8
02M280,Manhattan Early College School for Advertising,417,32,7.7%,11,s,s,18
02M281,The River School,366,17,4.6%,s,s,s,12
02M282,Urban Assembly Maker Academy,404,28,6.9%,13,s,s,14
02M288,Food and Finance High School,373,15,4.0%,11,s,s,s
02M289,I.S. 289,286,19,6.6%,s,s,s,12
02M294,Essex Street Academy,333,13,3.9%,6,s,s,6
02M296,High School of Hospitality Management,379,38,10.0%,19,13,6,16
02M297,M.S. 297,576,39,6.8%,22,s,s,11
02M298,Pace High School,581,46,7.9%,18,9,9,23
02M300,"Urban Assembly School of Design and Construction,",305,45,14.8%,20,11,9,21
02M303,"Facing History School, The",375,47,12.5%,21,s,s,22
02M305,"Urban Assembly Academy of Government and Law, The",304,24,7.9%,10,s,s,13
02M308,Lower Manhattan Arts Academy,293,35,11.9%,14,s,s,19
02M313,"James Baldwin School, The: A School for Expedition",258,15,5.8%,s,s,s,8
02M316,"Urban Assembly School of Business for Young Women,",186,18,9.7%,6,s,s,9
02M347,The 47 American Sign Language & English Lower Scho,207,42,20.3%,22,15,7,15
02M374,Gramercy Arts High School,449,40,8.9%,15,9,6,20
02M376,NYC iSchool,466,17,3.6%,s,s,s,9
02M391,District 2 Pre-K Center,545,17,3.1%,9,s,s,6
02M392,MANHATTAN BUSINESS ACADEMY,421,47,11.2%,22,15,7,22
02M393,Business Of Sports School,441,57,12.9%,21,s,s,31
02M394,Emma Lazarus High School,384,7,1.8%,s,s,s,s
02M397,Spruce Street School,567,15,2.6%,8,s,s,6
02M399,The High School For Language And Diplomacy,307,33,10.7%,8,s,s,22
02M400,High School for Environmental Studies,1127,60,5.3%,30,20,10,24
02M407,Institute for Collaborative Education,484,22,4.5%,6,s,s,11
02M408,Professional Performing Arts High School,568,18,3.2%,s,s,s,8
02M411,Baruch College Campus High School,488,7,1.4%,s,s,s,7
02M412,N.Y.C. Lab School for Collaborative Studies,475,12,2.5%,s,s,s,6
02M413,School of the Future High School,751,31,4.1%,6,s,s,19
02M418,Millennium High School,683,27,4.0%,s,s,s,24
02M419,Landmark High School,329,28,8.5%,12,s,s,12
02M420,High School for Health Professions and Human Servi,1801,72,4.0%,27,14,13,41
02M422,Quest to Learn,537,59,11.0%,25,17,8,29
02M425,Leadership and Public Service High School,451,29,6.4%,12,s,s,14
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,250,107,42.8%,20,s,s,83
02M432,Murray Hill Academy,310,36,11.6%,13,s,s,19
02M437,Hudson High School of Learning Technologies,472,50,10.6%,17,9,8,32
02M438,International High School at Union Square,383,138,36.0%,16,s,s,118
02M439,Manhattan Village Academy,457,15,3.3%,s,s,s,13
02M444,Home Schooling,359,14,3.9%,7,s,s,s
02M449,Vanguard High School,438,31,7.1%,12,6,6,13
02M459,Manhattan International High School,314,59,18.8%,9,s,s,45
02M473,Washington Irving Yabc,199,20,10.1%,11,s,s,9
02M475,Stuyvesant High School,3312,42,1.3%,s,s,s,39
02M489,High School of Economics and Finance,731,53,7.3%,23,s,s,29
02M500,Unity Center for Urban Technologies,275,33,12.0%,20,12,8,11
02M507,Urban Assembly Gateway School for Technology,458,36,7.9%,11,s,s,23
02M519,Talent Unlimited High School,507,11,2.2%,s,s,s,7
02M520,Murry Bergtraum High School for Business Careers,170,16,9.4%,8,s,s,8
02M527,P.S. 527 - East Side School for Social Action,437,12,2.7%,s,s,s,8
02M529,Jacqueline Kennedy Onassis High School,432,50,11.6%,24,11,13,22
02M531,Repertory Company High School for Theatre Arts,237,9,3.8%,s,s,s,6
02M533,Union Square Academy for Health Sciences,414,38,9.2%,11,s,s,26
02M534,Harvest Collegiate High School,472,27,5.7%,s,s,s,22
02M542,Manhattan Bridges High School,543,107,19.7%,18,12,6,88
02M543,New Design High School,430,46,10.7%,25,10,15,17
02M544,Independence High School,377,42,11.1%,26,15,11,9
02M545,High School for Dual Language and Asian Studies,404,52,12.9%,s,s,s,52
02M546,Academy for Software Engineering,461,16,3.5%,s,s,s,9
02M550,Liberty High School Academy for Newcomers,536,160,29.9%,21,s,s,125
02M551,Urban Assembly New York Harbor School,528,32,6.1%,11,s,s,18
02M560,High School M560 - City As School,665,63,9.5%,26,14,12,28
02M565,Urban Academy Laboratory High School,164,12,7.3%,7,s,s,s
02M570,Satellite Academy High School,271,22,8.1%,8,s,s,13
02M575,Manhattan Comprehensive Night and Day High School,844,86,10.2%,23,9,14,50
02M580,Richard R. Green High School of Teaching,434,31,7.1%,14,s,s,12
02M586,Harvey Milk High School,82,14,17.1%,6,s,s,6
02M600,The High School of Fashion Industries,1544,94,6.1%,46,27,19,44
02M605,Humanities Preparatory Academy,244,48,19.7%,6,s,s,38
02M615,Chelsea Career and Technical Education High School,447,31,6.9%,12,s,s,16
02M630,Art and Design High School,1466,66,4.5%,21,13,8,42
02M655,Life Sciences Secondary School,448,38,8.5%,23,s,s,14
02M700,Universal Pre-K C.B.O.,868,61,7.0%,23,s,s,38
02M933,City Knoll Middle School,188,39,20.7%,36,s,s,s
03M009,P.S. 009 Sarah Anderson,634,44,6.9%,13,s,s,31
03M054,J.H.S. 054 Booker T. Washington,867,13,1.5%,s,s,s,9
03M075,P.S. 075 Emily Dickinson,572,68,11.9%,39,s,s,28
03M076,P.S. 076 A. Philip Randolph,463,125,27.0%,70,49,21,54
03M084,P.S. 084 Lillian Weber,697,41,5.9%,13,s,s,21
03M087,P.S. 087 William Sherman,904,13,1.4%,10,s,s,s
03M145,"P.S. 145, The Bloomingdale School",420,80,19.0%,46,s,s,32
03M149,P.S. 149 Sojourner Truth,252,58,23.0%,32,s,s,24
03M163,P.S. 163 Alfred E. Smith,579,48,8.3%,13,s,s,27
03M165,P.S. 165 Robert E. Simon,461,81,17.6%,32,s,s,48
03M166,P.S. 166 The Richard Rodgers School of The Arts an,646,14,2.2%,s,s,s,8
03M180,P.S. 180 Hugo Newman,567,93,16.4%,24,s,s,66
03M185,The Locke School of Arts and Engineering,379,35,9.2%,27,s,s,7
03M191,The Riverside School for Makers and Artists,595,81,13.6%,31,23,8,38
03M241,STEM Institute of Manhattan,138,22,15.9%,s,s,s,15
03M242,P.S. 242 - The Young Diplomats Magnet Academy,143,36,25.2%,21,s,s,14
03M245,M.S. M245 The Computer School,404,13,3.2%,s,s,s,12
03M247,M.S. M247 Dual Language Middle School,231,34,14.7%,8,s,s,26
03M250,M.S. 250 West Side Collaborative Middle School,172,28,16.3%,9,s,s,16
03M256,Lafayette Academy,158,28,17.7%,11,s,s,17
03M258,Community Action School - MS 258,249,25,10.0%,9,s,s,14
03M291,West End Secondary School,435,11,2.5%,s,s,s,10
03M299,The Maxine Greene HS for Imaginative Inquiry,358,42,11.7%,18,10,8,21
03M307,"Urban Assembly School for Media Studies, The",413,41,9.9%,17,9,8,21
03M333,P.S. 333 Manhattan School for Children,765,13,1.7%,s,s,s,9
03M402,The Urban Assembly School for Green Careers,311,31,10.0%,12,s,s,17
03M403,The Global Learning Collaborative,412,40,9.7%,12,s,s,24
03M404,Innovation Diploma Plus,228,16,7.0%,9,s,s,s
03M415,Wadleigh Secondary School for the Performing & Vis,312,49,15.7%,33,22,11,15
03M417,Frank Mccourt High School,419,17,4.1%,s,s,s,12
03M421,West Prep Academy,218,36,16.5%,22,s,s,9
03M444,Home Schooling,203,9,4.4%,s,s,s,s
03M452,P.S. 452,400,8,2.0%,s,s,s,s
03M479,Beacon High School,1432,9,0.6%,s,s,s,6
03M485,Fiorello H. LaGuardia High School of Music & Art a,2753,12,0.4%,s,s,s,8
03M492,"High School for Law, Advocacy and Community Justic",429,52,12.1%,31,16,15,18
03M494,High School of Arts and Technology,475,54,11.4%,31,22,9,21
03M505,Edward A. Reynolds West Side High School,456,58,12.7%,27,12,15,26
03M541,Manhattan / Hunter Science High School,443,12,2.7%,s,s,s,9
03M700,Universal Pre-K C.B.O.,555,63,11.4%,24,s,s,37
03M859,Special Music School,314,8,2.5%,s,s,s,s
03M860,Frederick Douglass Academy II Secondary School,370,69,18.6%,32,18,14,30
03M862,Mott Hall II,438,24,5.5%,11,s,s,11
04M007,P.S. 007 Samuel Stern,423,88,20.8%,39,28,11,48
04M012,Tag Young Scholars,603,12,2.0%,s,s,s,7
04M037,River East Elementary,264,32,12.1%,15,9,6,14
04M038,P.S. 38 Roberto Clemente,265,81,30.6%,49,42,7,28
04M057,James Weldon Johnson,813,208,25.6%,82,47,35,122
04M072,The Lexington Academy,667,163,24.4%,57,43,14,102
04M083,P.S. 083 Luis Munoz Rivera,435,39,9.0%,29,22,7,9
04M096,P.S. 096 Joseph Lanzetta,423,93,22.0%,43,31,12,41
04M102,P.S. 102 Jacques Cartier,305,66,21.6%,34,22,12,29
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,495,74,14.9%,47,38,9,22
04M112,P.S. 112 Jose Celso Barbosa,351,62,17.7%,27,s,s,35
04M146,P.S. 146 Ann M. Short,410,100,24.4%,51,44,7,49
04M155,P.S. 155 William Paca,254,43,16.9%,12,s,s,30
04M171,P.S. 171 Patrick Henry,778,77,9.9%,21,13,8,54
04M182,The Bilingual Bicultural School,331,93,28.1%,18,s,s,74
04M206,P.S. 206 Jose Celso Barbosa,500,81,16.2%,36,25,11,40
04M224,M.S. 224 Manhattan East School for Arts & Academic,196,10,5.1%,6,s,s,s
04M310,THE JUDITH S. KAYE HIGH SCHOOL,109,17,15.6%,13,s,s,s
04M372,Esperanza Preparatory Academy,594,108,18.2%,24,s,s,77
04M375,Mosaic Preparatory Academy,320,102,31.9%,60,47,13,41
04M377,Renaissance School of the Arts,171,35,20.5%,14,s,s,18
04M435,Manhattan Center for Science and Mathematics,1654,44,2.7%,17,s,s,22
04M444,Home Schooling,82,8,9.8%,s,s,s,s
04M495,Park East High School,393,17,4.3%,7,s,s,10
04M497,Central Park East I,190,15,7.9%,s,s,s,11
04M555,Central Park East High School,511,16,3.1%,s,s,s,10
04M610,Young Women's Leadership School,480,17,3.5%,7,s,s,10
04M680,"Heritage School, The",309,22,7.1%,11,s,s,9
04M700,Universal Pre-K C.B.O.,424,51,12.0%,23,s,s,28
04M825,Isaac Newton Middle School for Math & Science,241,26,10.8%,6,s,s,19
04M964,Central Park East II,500,55,11.0%,22,15,7,27
05M030,P.S. 030 Hernandez/Hughes,275,71,25.8%,31,25,6,37
05M036,P.S. 036 Margaret Douglas,390,88,22.6%,32,20,12,56
05M046,P.S. 046 Arthur Tappan,637,121,19.0%,52,41,11,64
05M092,P.S. 092 Mary McLeod Bethune,265,75,28.3%,43,35,8,24
05M123,P.S. 123 Mahalia Jackson,520,202,38.8%,117,62,55,84
05M125,P.S. 125 Ralph Bunche,306,24,7.8%,7,s,s,17
05M129,P.S. 129 John H. Finley,457,97,21.2%,63,40,23,32
05M133,P.S. 133 Fred R Moore,249,59,23.7%,28,s,s,31
05M148,Eagle Academy for Young Men of Harlem,387,42,10.9%,15,8,7,25
05M154,P.S. 154 Harriet Tubman,301,77,25.6%,37,25,12,39
05M157,The Urban Assembly School for Global Commerce,253,25,9.9%,11,s,s,10
05M161,P.S. 161 Pedro Albizu Campos,847,222,26.2%,55,31,24,146
05M175,P.S. 175 Henry H Garnet,371,74,19.9%,64,50,14,7
05M194,P.S. 194 Countee Cullen,228,75,32.9%,44,34,10,30
05M197,P.S. 197 John B. Russwurm,344,99,28.8%,63,44,19,29
05M200,P.S. 200- The James Mccune Smith School,431,92,21.3%,56,30,26,34
05M285,Harlem Renaissance High School,251,33,13.1%,20,11,9,8
05M286,Urban Assembly Academy for Future Leaders,141,25,17.7%,18,10,8,s
05M304,Mott Hall High School,297,61,20.5%,28,22,6,27
05M318,Thurgood Marshall Academy Lower School,213,35,16.4%,11,s,s,20
05M362,Columbia Secondary School,713,39,5.5%,9,s,s,26
05M369,Urban Assembly School for the Performing Arts,369,37,10.0%,21,14,7,13
05M444,Home Schooling,145,8,5.5%,s,s,s,s
05M499,Frederick Douglass Academy,1237,129,10.4%,70,39,31,56
05M514,New Design Middle School,149,26,17.4%,12,6,6,11
05M517,Teachers College Community School,324,24,7.4%,s,s,s,19
05M670,Thurgood Marshall Academy for Learning and Social,544,63,11.6%,19,7,12,36
05M692,"High School for Mathematics, Science and Engineeri",487,8,1.6%,s,s,s,6
05M700,Universal Pre-K C.B.O.,697,117,16.8%,46,39,7,70
06M004,P.S. 004 Duke Ellington,534,103,19.3%,19,s,s,80
06M005,P.S. 005 Ellen Lurie,585,61,10.4%,15,s,s,36
06M008,P.S. 008 Luis Belliard,525,70,13.3%,20,s,s,47
06M018,P.S. 018 Park Terrace,363,121,33.3%,s,s,s,119
06M028,P.S. 028 Wright Brothers,625,190,30.4%,57,40,17,126
06M048,P.S. 048 P.O. Michael J. Buczek,496,109,22.0%,12,s,s,94
06M052,Harold O. Levy School,283,57,20.1%,s,s,s,52
06M098,P.S. 098 Shorac Kappock,443,102,23.0%,s,s,s,97
06M103,Dos Puentes Elementary School,418,93,22.2%,s,s,s,88
06M115,P.S. 115 Alexander Humboldt,482,123,25.5%,15,s,s,104
06M128,P.S. 128 Audubon,633,206,32.5%,12,s,s,193
06M132,P.S. 132 Juan Pablo Duarte,261,75,28.7%,16,s,s,58
06M143,J.H.S. 143 Eleanor Roosevelt,275,45,16.4%,10,s,s,33
06M152,P.S. 152 Dyckman Valley,583,231,39.6%,14,s,s,215
06M153,P.S. 153 Adam Clayton Powell,555,147,26.5%,38,28,10,109
06M173,P.S. 173,509,32,6.3%,19,s,s,13
06M178,Professor Juan Bosch Public School,286,43,15.0%,s,s,s,41
06M187,P.S./I.S. 187 Hudson Cliffs,795,40,5.0%,s,s,s,39
06M189,P.S. 189,767,61,8.0%,18,s,s,36
06M192,P.S. 192 Jacob H. Schiff,403,55,13.6%,29,21,8,26
06M209,Hamilton Grange Middle School,312,49,15.7%,9,s,s,38
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,436,20,4.6%,14,s,s,6
06M211,Inwood Early College for Health and Information Te,429,34,7.9%,8,s,s,25
06M223,The Mott Hall School,300,23,7.7%,6,s,s,16
06M278,Paula Hedbavny School,564,55,9.8%,7,s,s,46
06M293,City College Academy of the Arts,606,53,8.7%,8,s,s,44
06M311,Amistad Dual Language School,419,61,14.6%,7,s,s,53
06M314,Muscota,295,8,2.7%,s,s,s,8
06M319,M.S. 319 - Maria Teresa,399,62,15.5%,10,s,s,51
06M322,Middle School 322,422,131,31.0%,12,s,s,115
06M324,M.S. 324 - Patria Mirabal,358,61,17.0%,19,12,7,32
06M328,Community Math & Science Prep,225,26,11.6%,17,11,6,8
06M346,Community Health Academy of the Heights,728,99,13.6%,20,12,8,79
06M348,Washington Heights Expeditionary Learning School,870,96,11.0%,12,s,s,79
06M349,Harbor Heights,156,66,42.3%,15,s,s,51
06M366,Washington Heights Academy,599,47,7.8%,s,s,s,46
06M368,Hamilton Heights School,161,37,23.0%,13,s,s,23
06M423,High School for Excellence and Innovation,191,43,22.5%,8,s,s,34
06M457,George Washington Yabc,134,20,14.9%,s,s,s,15
06M462,The College Academy,435,121,27.8%,16,9,7,104
06M463,High School for Media and Communications,403,128,31.8%,10,s,s,115
06M467,High School for Law and Public Service,491,112,22.8%,15,s,s,93
06M468,High School for Health Careers and Sciences,434,106,24.4%,20,11,9,81
06M513,Castle Bridge School,204,34,16.7%,s,s,s,31
06M528,I.S. 528 Bea Fuller Rodgers School,238,40,16.8%,s,s,s,38
06M540,A. Philip Randolph Campus High School,1467,175,11.9%,69,27,42,94
06M552,Gregorio Luperon High School for Science and Mathe,564,172,30.5%,16,9,7,156
06M700,Universal Pre-K C.B.O.,931,150,16.1%,16,s,s,122
07X001,P.S. 001 Courtlandt School,689,157,22.8%,72,47,25,81
07X005,P.S. 5 Port Morris,781,185,23.7%,82,66,16,103
07X018,P.S. 018 John Peter Zenger,619,165,26.7%,78,57,21,77
07X025,P.S. 025 Bilingual School,570,71,12.5%,42,32,10,25
07X029,P.S./M.S. 029 Melrose School,857,136,15.9%,67,56,11,66
07X030,P.S. 030 Wilton,581,142,24.4%,76,58,18,61
07X031,P.S./M.S. 031 The William Lloyd Garrison,726,147,20.2%,43,35,8,99
07X043,P.S. 043 Jonas Bronck,480,92,19.2%,37,29,8,54
07X049,P.S. 049 Willis Avenue,675,141,20.9%,60,41,19,79
07X065,P.S. 065 Mother Hale Academy,393,163,41.5%,97,91,6,64
07X151,J.H.S. 151 Lou Gehrig,250,87,34.8%,24,s,s,59
07X154,P.S. 154 Jonathan D. Hyatt,347,39,11.2%,29,s,s,s
07X157,P.S. 157 Grove Hill,653,144,22.1%,72,54,18,68
07X161,P.S. 161 Juan Ponce De Leon School,502,102,20.3%,50,36,14,46
07X179,P.S. 179,317,62,19.6%,29,23,6,29
07X221,South Bronx Preparatory: A College Board School,671,84,12.5%,26,14,12,53
07X223,The Laboratory School of Finance and Technology: X,674,74,11.0%,23,11,12,43
07X224,P.S./I.S. 224,328,76,23.2%,31,23,8,40
07X259,"H.E.R.O. High (Health, Education, and Research Occ",518,76,14.7%,38,23,15,35
07X277,P.S. 277,506,101,20.0%,44,s,s,55
07X296,South Bronx Academy for Applied Media,250,69,27.6%,34,27,7,31
07X298,Academy of Public Relations,278,76,27.3%,37,24,13,36
07X334,International Community High School,427,116,27.2%,23,17,6,91
07X343,Academy of Applied Mathematics and Technology,312,40,12.8%,14,s,s,22
07X359,Concourse Village Elementary School,353,56,15.9%,15,s,s,41
