"Date","Borough","Low_income","Total"
2021-06-30,"Brooklyn",0,13
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,15
2021-06-30,"Brooklyn",0,10
2021-06-30,"Bronx",20,20
2021-06-30,"Bronx",24,24
2021-06-30,"Bronx",19,20
2021-06-30,"Bronx",63,64
2021-06-30,"Bronx",36,37
2021-06-30,"Bronx",22,22
2021-06-30,"Manhattan",0,9
2021-06-30,"Manhattan",0,21
2021-06-30,"Manhattan",0,14
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,2
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,2
2021-06-30,"Brooklyn",0,3
2021-06-30,"Brooklyn",0,3
2021-06-30,"Manhattan",9,9
2021-06-30,"Manhattan",8,8
2021-06-30,"Manhattan",8,9
2021-06-30,"Manhattan",14,15
2021-06-30,"Manhattan",15,15
2021-06-30,"Manhattan",15,16
2021-06-30,"Manhattan",19,20
2021-06-30,"Manhattan",16,18
2021-06-30,"Bronx",132,133
2021-06-30,"Manhattan",141,141
2021-06-30,"Manhattan",145,145
2021-06-30,"Manhattan",124,124
2021-06-30,"Manhattan",123,124
2021-06-30,"Manhattan",124,124
2021-06-30,"Manhattan",124,124
2021-06-30,"Bronx",53,54
2021-06-30,"Queens",207,207
2021-06-30,"Queens",84,84
2021-06-30,"Queens",39,39
2021-06-30,"Queens",36,36
2021-06-30,"Queens",36,36
2021-06-30,"Queens",72,73
2021-06-30,"Queens",36,36
2021-06-30,"Queens",77,77
2021-06-30,"Queens",72,72
2021-06-30,"Queens",18,18
2021-06-30,"Queens",72,72
2021-06-30,"Queens",18,18
2021-06-30,"Queens",72,72
2021-06-30,"Queens",71,71
2021-06-30,"Queens",72,72
2021-06-30,"Queens",36,36
2021-06-30,"Queens",72,72
2021-06-30,"Queens",36,36
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",77,77
2021-06-30,"Queens",77,77
2021-06-30,"Queens",18,18
2021-06-30,"Queens",72,72
2021-06-30,"Queens",18,18
2021-06-30,"Queens",84,84
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",77,77
2021-06-30,"Queens",76,76
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Queens",72,72
2021-06-30,"Bronx",149,150
2021-06-30,"Brooklyn",12,58
2021-06-30,"Brooklyn",18,55
2021-06-30,"Bronx",40,40
2021-06-30,"Brooklyn",26,49
2021-06-30,"Brooklyn",107,107
2021-06-30,"Brooklyn",26,95
2021-06-30,"Bronx",1,1
2021-06-30,"Bronx",101,102
2021-06-30,"Bronx",0,10
2021-06-30,"Bronx",0,16
2021-06-30,"Bronx",0,16
2021-06-30,"Bronx",0,19
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,14
2021-06-30,"Bronx",0,90
2021-06-30,"Bronx",0,71
2021-06-30,"Brooklyn",0,421
2021-06-30,"Brooklyn",0,29
2021-06-30,"Brooklyn",0,8
2021-06-30,"Bronx",0,36
2021-06-30,"Bronx",0,215
2021-06-30,"Brooklyn",0,27
2021-06-30,"Bronx",0,43
2021-06-30,"Brooklyn",0,17
2021-06-30,"Bronx",0,50
2021-06-30,"Bronx",0,20
2021-06-30,"Brooklyn",0,16
2021-06-30,"Brooklyn",0,19
2021-06-30,"Brooklyn",0,10
2021-06-30,"Bronx",0,10
2021-06-30,"Bronx",0,22
2021-06-30,"Bronx",0,9
2021-06-30,"Bronx",0,35
2021-06-30,"Queens",1,1
2021-06-30,"Brooklyn",0,6
2021-06-30,"Brooklyn",0,26
2021-06-30,"Brooklyn",0,10
2021-06-30,"Bronx",0,31
2021-06-30,"Bronx",0,20
2021-06-30,"Brooklyn",0,23
2021-06-30,"Bronx",0,8
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,9
2021-06-30,"Queens",0,15
2021-06-30,"Brooklyn",0,23
2021-06-30,"Brooklyn",0,10
2021-06-30,"Bronx",0,42
2021-06-30,"Brooklyn",0,6
2021-06-30,"Brooklyn",0,6
2021-06-30,"Brooklyn",0,10
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,10
2021-06-30,"Brooklyn",0,8
2021-06-30,"Brooklyn",0,8
2021-06-30,"Bronx",0,16
2021-06-29,"Bronx",25,25
2021-06-29,"Bronx",18,18
2021-06-29,"Bronx",14,15
2021-06-29,"Bronx",16,16
2021-06-29,"Bronx",19,19
2021-06-29,"Bronx",15,15
2021-06-29,"Bronx",19,20
2021-06-29,"Bronx",8,8
2021-06-29,"Bronx",8,8
2021-06-29,"Bronx",20,21
2021-06-29,"Bronx",15,15
2021-06-29,"Bronx",13,13
2021-06-29,"Bronx",12,12
2021-06-29,"Bronx",18,18
2021-06-29,"Bronx",78,86
2021-06-29,"Bronx",18,18
2021-06-29,"Bronx",30,31
2021-06-29,"Bronx",18,19
2021-06-29,"Bronx",8,8
2021-06-29,"Brooklyn",189,190
2021-06-29,"Brooklyn",14,52
2021-06-29,"Brooklyn",11,55
2021-06-29,"Queens",20,100
2021-06-29,"Staten Island",28,103
2021-06-29,"Queens",12,55
2021-06-29,"Queens",14,48
2021-06-29,"Brooklyn",10,46
2021-06-29,"Queens",1,1
2021-06-29,"Staten Island",1,1
2021-06-29,"Queens",0,15
2021-06-29,"Brooklyn",0,6
2021-06-29,"Queens",1,1
2021-06-28,"Queens",149,152
2021-06-28,"Bronx",24,72
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Queens",293,293
2021-06-28,"Manhattan",44,190
2021-06-28,"Queens",13,40
2021-06-28,"Brooklyn",0,43
2021-06-28,"Brooklyn",0,37
2021-06-25,"Brooklyn",402,403
2021-06-25,"Bronx",64,65
2021-06-25,"Bronx",49,50
2021-06-25,"Bronx",45,45
2021-06-25,"Queens",16,54
2021-06-25,"Bronx",27,76
2021-06-25,"Bronx",10,50
2021-06-25,"Queens",0,46
2021-06-25,"Queens",0,7
2021-06-24,"Bronx",115,116
2021-06-24,"Manhattan",208,348
2021-06-24,"Bronx",204,205
2021-06-24,"Brooklyn",302,374
2021-06-24,"Brooklyn",86,343
2021-06-23,"Bronx",44,44
2021-06-23,"Bronx",1,1
2021-06-23,"Queens",1,1
2021-06-22,"Brooklyn",57,58
2021-06-22,"Bronx",27,59
2021-06-22,"Bronx",32,56
2021-06-18,"Bronx",1,1
2021-06-18,"Brooklyn",1,1
2021-06-17,"Bronx",12,12
2021-06-17,"Bronx",12,12
2021-06-17,"Bronx",11,12
2021-06-17,"Bronx",16,17
2021-06-17,"Bronx",11,11
2021-06-17,"Bronx",21,22
2021-06-17,"Queens",24,94
2021-06-17,"Brooklyn",0,6
2021-06-15,"Bronx",0,2
2021-06-15,"Brooklyn",0,3
2021-06-15,"Brooklyn",2,2
2021-06-15,"Brooklyn",0,2
2021-06-15,"Brooklyn",0,3
2021-06-15,"Brooklyn",0,3
2021-06-15,"Brooklyn",0,2
2021-06-15,"Queens",0,1
2021-06-15,"Queens",0,2
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Queens",1,1
2021-06-15,"Manhattan",9,108
2021-06-14,"Brooklyn",23,124
2021-06-14,"Queens",0,1
2021-06-11,"Bronx",0,22
2021-06-11,"Bronx",0,7
2021-06-11,"Bronx",0,7
2021-06-09,"Bronx",25,151
2021-06-09,"Bronx",0,46
2021-06-07,"Queens",1,1
2021-05-28,"Manhattan",1,131
2021-05-27,"Bronx",1,1
2021-05-26,"Brooklyn",4,4
2021-05-26,"Queens",0,21
2021-05-20,"Brooklyn",4,21
2021-05-17,"Queens",0,6
2021-05-17,"Queens",0,18
2021-05-14,"Queens",24,69
2021-05-13,"Bronx",47,48
2021-05-13,"Bronx",34,35
2021-05-13,"Brooklyn",0,138
2021-05-12,"Brooklyn",54,264
2021-05-12,"Brooklyn",5,20
2021-05-11,"Brooklyn",63,64
2021-05-10,"Manhattan",23,24
2021-05-10,"Manhattan",19,19
2021-05-10,"Manhattan",19,19
2021-05-10,"Manhattan",19,19
2021-05-10,"Brooklyn",1,121
2021-05-07,"Brooklyn",0,8
2021-05-07,"Brooklyn",0,8
2021-05-07,"Brooklyn",0,27
2021-05-05,"Manhattan",0,7
2021-05-05,"Manhattan",0,10
2021-05-05,"Manhattan",0,19
2021-05-03,"Brooklyn",0,8
2021-04-30,"Bronx",21,22
2021-04-30,"Bronx",20,21
2021-04-30,"Bronx",20,20
2021-04-30,"Bronx",18,18
2021-04-30,"Bronx",6,6
2021-04-30,"Bronx",25,25
2021-04-29,"Manhattan",173,174
2021-04-29,"Queens",35,42
2021-04-29,"Brooklyn",156,157
2021-04-29,"Manhattan",28,113
2021-04-29,"Staten Island",0,1
2021-04-29,"Manhattan",0,921
2021-04-28,"Queens",61,62
2021-04-28,"Brooklyn",0,8
2021-04-27,"Staten Island",0,2
2021-04-27,"Queens",0,21
2021-04-26,"Brooklyn",0,48
2021-04-26,"Brooklyn",0,8
2021-04-23,"Manhattan",114,115
2021-04-23,"Staten Island",1,1
2021-04-23,"Queens",0,17
2021-04-20,"Bronx",1,1
2021-04-20,"Brooklyn",1,1
2021-04-16,"Queens",0,12
2021-04-16,"Manhattan",3,15
2021-04-16,"Brooklyn",0,8
2021-04-15,"Bronx",0,64
2021-04-13,"Queens",1,1
2021-04-09,"Queens",30,605
2021-04-09,"Brooklyn",0,20
2021-04-08,"Queens",1,1
2021-04-08,"Brooklyn",1,1
2021-04-01,"Queens",0,7
2021-03-31,"Brooklyn",4,4
2021-03-31,"Brooklyn",9,9
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",35,36
2021-03-31,"Brooklyn",12,12
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",12,12
2021-03-31,"Brooklyn",12,13
2021-03-31,"Brooklyn",19,20
2021-03-31,"Brooklyn",4,4
2021-03-31,"Brooklyn",9,9
2021-03-31,"Brooklyn",6,6
2021-03-31,"Brooklyn",6,6
2021-03-31,"Brooklyn",5,5
2021-03-31,"Brooklyn",19,20
2021-03-31,"Brooklyn",8,8
2021-03-31,"Brooklyn",4,4
2021-03-26,"Bronx",1,1
2021-03-26,"Staten Island",1,1
2021-03-22,"Bronx",0,55
2021-03-19,"Brooklyn",0,9
2021-03-18,"Brooklyn",0,6
2021-03-18,"Brooklyn",0,6
2021-03-17,"Brooklyn",6,32
2021-03-16,"Brooklyn",1,1
2021-03-16,"Bronx",0,15
2021-03-12,"Manhattan",0,240
2021-03-11,"Bronx",0,17
2021-03-10,"Brooklyn",1,1
2021-03-05,"Brooklyn",0,10
2021-03-05,"Queens",1,1
2021-03-02,"Bronx",0,6
2021-03-02,"Queens",0,20
2021-02-26,"Manhattan",1,1
2021-02-25,"Manhattan",101,102
2021-02-25,"Queens",1,1
2021-02-25,"Brooklyn",0,8
2021-02-25,"Brooklyn",0,8
2021-02-25,"Queens",30,50
2021-02-24,"Brooklyn",27,150
2021-02-24,"Queens",0,1122
2021-02-24,"Bronx",0,22
2021-02-24,"Brooklyn",0,7
2021-02-22,"Bronx",0,8
2021-02-18,"Manhattan",1,1
2021-02-18,"Queens",1,1
2021-02-18,"Brooklyn",0,56
2021-02-12,"Brooklyn",0,9
2021-02-12,"Bronx",0,43
2021-02-11,"Brooklyn",0,9
2021-02-09,"Brooklyn",1,1
2021-02-09,"Staten Island",1,1
2021-02-09,"Brooklyn",0,10
2021-02-09,"Manhattan",0,208
2021-02-08,"Brooklyn",0,6
2021-02-05,"Queens",0,143
2021-02-04,"Brooklyn",0,10
2021-02-04,"Brooklyn",0,10
2021-02-04,"Brooklyn",0,16
2021-02-03,"Bronx",0,28
2021-02-03,"Brooklyn",0,48
2021-01-29,"Staten Island",1,1
2021-01-28,"Brooklyn",62,77
2021-01-27,"Manhattan",0,34
2021-01-26,"Manhattan",6,20
2021-01-22,"Brooklyn",154,154
2021-01-22,"Brooklyn",9,48
2021-01-22,"Brooklyn",1,8
2021-01-21,"Brooklyn",1,1
2021-01-21,"Bronx",1,1
2021-01-21,"Brooklyn",0,8
2021-01-21,"Brooklyn",0,63
2021-01-20,"Brooklyn",0,20
2021-01-20,"Manhattan",0,16
2021-01-20,"Brooklyn",0,11
2021-01-19,"Brooklyn",0,8
2021-01-15,"Brooklyn",0,10
2021-01-12,"Queens",1,1
2021-01-11,"Brooklyn",0,10
2021-01-06,"Manhattan",10,11
2021-01-06,"Manhattan",8,9
2021-01-06,"Manhattan",8,9
2021-01-06,"Manhattan",8,10
2021-01-06,"Manhattan",8,10
2021-01-06,"Manhattan",9,10
2021-01-06,"Manhattan",21,24
2021-01-06,"Manhattan",20,24
2021-01-06,"Manhattan",9,10
2021-01-04,"Bronx",0,11
2020-12-31,"Bronx",71,338
2020-12-31,"Manhattan",54,55
2020-12-31,"Manhattan",54,55
2020-12-31,"Manhattan",19,20
2020-12-31,"Manhattan",30,31
2020-12-31,"Manhattan",12,13
2020-12-31,"Manhattan",12,13
2020-12-31,"Manhattan",13,13
2020-12-31,"Bronx",24,25
2020-12-31,"Bronx",43,206
2020-12-31,"Bronx",16,16
2020-12-31,"Bronx",40,40
2020-12-31,"Bronx",19,19
2020-12-31,"Bronx",19,20
2020-12-30,"Queens",353,354
2020-12-30,"Manhattan",9,9
2020-12-30,"Manhattan",22,23
2020-12-30,"Bronx",41,42
2020-12-30,"Bronx",19,20
2020-12-30,"Bronx",8,8
2020-12-30,"Bronx",8,8
2020-12-30,"Bronx",49,50
2020-12-30,"Bronx",31,32
2020-12-30,"Bronx",31,32
2020-12-30,"Bronx",20,21
2020-12-30,"Bronx",7,8
2020-12-30,"Bronx",51,52
2020-12-29,"Bronx",433,542
2020-12-29,"Brooklyn",215,216
2020-12-29,"Bronx",181,182
2020-12-28,"Brooklyn",41,41
2020-12-24,"Bronx",0,50
2020-12-23,"Manhattan",74,378
2020-12-22,"Bronx",0,4
2020-12-22,"Bronx",0,26
2020-12-22,"Bronx",0,21
2020-12-22,"Bronx",0,20
2020-12-22,"Bronx",190,191
2020-12-22,"Queens",0,7
2020-12-17,"Brooklyn",159,160
2020-12-17,"Queens",99,100
2020-12-17,"Bronx",260,261
2020-12-17,"Bronx",170,171
2020-12-17,"Bronx",87,87
2020-12-17,"Bronx",82,83
2020-12-17,"Bronx",187,188
2020-12-17,"Bronx",220,221
2020-12-17,"Bronx",159,160
2020-12-17,"Bronx",162,163
2020-12-17,"Bronx",0,45
2020-12-17,"Queens",0,20
2020-12-16,"Queens",1,1
2020-12-16,"Bronx",1,1
2020-12-16,"Brooklyn",0,60
2020-12-16,"Bronx",0,8
2020-12-14,"Brooklyn",74,74
2020-12-14,"Brooklyn",0,6
2020-12-14,"Brooklyn",0,7
2020-12-14,"Brooklyn",0,7
2020-12-11,"Queens",0,6
2020-12-11,"Brooklyn",0,8
2020-12-10,"Brooklyn",326,327
2020-12-04,"Brooklyn",0,105
2020-12-04,"Brooklyn",0,20
2020-12-03,"Brooklyn",14,68
2020-12-03,"Manhattan",94,94
2020-12-01,"Bronx",312,312
2020-12-01,"Bronx",312,313
2020-12-01,"Bronx",312,312
2020-12-01,"Bronx",312,312
2020-12-01,"Bronx",312,312
2020-12-01,"Bronx",312,313
2020-11-27,"Manhattan",7,20
2020-11-27,"Manhattan",8,20
2020-11-27,"Manhattan",5,20
2020-11-27,"Manhattan",1,21
2020-11-27,"Manhattan",4,17
2020-11-27,"Manhattan",4,18
2020-11-27,"Manhattan",2,20
2020-11-27,"Manhattan",6,20
2020-11-27,"Manhattan",6,20
2020-11-27,"Manhattan",5,20
2020-11-27,"Manhattan",6,20
2020-11-27,"Manhattan",6,20
2020-11-27,"Manhattan",5,20
2020-11-27,"Manhattan",2,17
2020-11-25,"Brooklyn",5,5
2020-11-25,"Brooklyn",0,2
2020-11-25,"Brooklyn",0,2
2020-11-25,"Manhattan",1,1
2020-11-23,"Manhattan",0,5
2020-11-23,"Manhattan",7,14
2020-11-23,"Manhattan",3,9
2020-11-23,"Manhattan",4,10
2020-11-20,"Bronx",1,1
2020-11-20,"Bronx",0,16
2020-11-18,"Brooklyn",0,8
2020-11-17,"Manhattan",31,35
2020-11-17,"Manhattan",37,47
2020-11-17,"Manhattan",7,23
2020-11-17,"Manhattan",4,23
2020-11-17,"Manhattan",17,54
2020-11-17,"Queens",0,20
2020-11-16,"Queens",1,1
2020-11-16,"Queens",0,158
2020-11-16,"Queens",0,10
2020-11-16,"Brooklyn",0,16
2020-11-13,"Bronx",15,15
2020-11-13,"Bronx",25,26
2020-11-13,"Bronx",8,8
2020-11-13,"Bronx",15,15
2020-11-13,"Bronx",10,11
2020-11-13,"Brooklyn",0,24
2020-11-12,"Brooklyn",5,16
2020-11-12,"Queens",0,45
2020-11-10,"Manhattan",1,1
2020-11-10,"Brooklyn",0,286
2020-11-10,"Brooklyn",0,8
2020-11-10,"Brooklyn",0,8
2020-11-09,"Queens",0,154
2020-11-05,"Brooklyn",0,113
2020-11-05,"Brooklyn",0,8
2020-11-04,"Bronx",0,25
2020-11-02,"Queens",0,31
2020-10-29,"Queens",1,1
2020-10-29,"Queens",1,1
2020-10-29,"Brooklyn",0,16
2020-10-28,"Bronx",0,18
2020-10-27,"Queens",0,22
2020-10-27,"Bronx",0,33
2020-10-26,"Brooklyn",13,86
2020-10-26,"Queens",0,10
2020-10-22,"Brooklyn",341,491
2020-10-22,"Bronx",71,72
2020-10-22,"Brooklyn",120,121
2020-10-21,"Brooklyn",2,2
2020-10-21,"Brooklyn",36,36
2020-10-21,"Brooklyn",8,8
2020-10-21,"Brooklyn",2,2
2020-10-21,"Brooklyn",23,24
2020-10-21,"Brooklyn",32,32
2020-10-21,"Brooklyn",11,11
2020-10-21,"Brooklyn",11,11
2020-10-21,"Brooklyn",9,9
2020-10-21,"Brooklyn",8,9
2020-10-21,"Brooklyn",12,12
2020-10-21,"Brooklyn",16,16
2020-10-21,"Brooklyn",15,16
2020-10-21,"Brooklyn",16,16
2020-10-21,"Brooklyn",10,10
2020-10-21,"Brooklyn",10,10
2020-10-21,"Queens",403,462
2020-10-20,"Queens",1,1
2020-10-20,"Staten Island",1,1
2020-10-20,"Queens",1,1
2020-10-20,"Queens",1,1
2020-10-16,"Manhattan",77,78
2020-10-16,"Manhattan",9,13
2020-10-16,"Manhattan",7,9
2020-10-16,"Manhattan",7,9
2020-10-16,"Manhattan",8,9
2020-10-16,"Manhattan",6,9
2020-10-16,"Manhattan",6,9
2020-10-16,"Manhattan",9,13
2020-10-16,"Manhattan",12,13
2020-10-16,"Manhattan",6,8
2020-10-16,"Manhattan",3,8
2020-10-16,"Manhattan",4,8
2020-10-16,"Manhattan",7,10
2020-10-16,"Manhattan",9,15
2020-10-16,"Manhattan",7,15
2020-10-16,"Manhattan",5,15
2020-10-16,"Manhattan",9,15
2020-10-16,"Manhattan",3,10
2020-10-16,"Manhattan",3,10
2020-10-16,"Manhattan",7,12
2020-10-16,"Manhattan",12,26
2020-10-16,"Manhattan",3,16
2020-10-16,"Manhattan",5,16
2020-10-16,"Manhattan",5,25
2020-10-16,"Manhattan",6,16
2020-10-16,"Manhattan",2,16
2020-10-16,"Manhattan",8,25
2020-10-16,"Manhattan",10,20
2020-10-16,"Manhattan",4,20
2020-10-16,"Manhattan",7,25
2020-10-16,"Manhattan",8,25
2020-10-16,"Manhattan",8,16
2020-10-16,"Manhattan",4,16
2020-10-16,"Manhattan",4,15
2020-10-16,"Manhattan",4,15
2020-10-16,"Manhattan",3,17
2020-10-16,"Manhattan",4,16
2020-10-16,"Manhattan",6,10
2020-10-16,"Manhattan",12,15
